
[Numeric.0.0]

Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,LimitMin,LimitMax,LimitType,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RCNumberOfLayers,[DiloCrosslapperPLC.DB0151:0092.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCLayerOverlap,[DiloCrosslapperPLC.DB0151:0094.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCEntryWidth,[DiloCrosslapperPLC.DB0151:0096.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCExitWidthLeft,[DiloCrosslapperPLC.DB0151:0098.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCExitWidthRight,[DiloCrosslapperPLC.DB0151:0100.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCDraftMin,[DiloCrosslapperPLC.DB0011:0048.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCDraftMax,[DiloCrosslapperPLC.DB0011:0050.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfileMin,[DiloCrosslapperPLC.DB0011:0052.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCProfileMax,[DiloCrosslapperPLC.DB0011:0054.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCExitWidthMin,[DiloCrosslapperPLC.DB0011:0068.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCExitWidthMax,[DiloCrosslapperPLC.DB0011:0070.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCEntryWidthMin,[DiloCrosslapperPLC.DB0011:0072.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCEntryWidthMax,[DiloCrosslapperPLC.DB0011:0074.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCNumberOfLayersMin,[DiloCrosslapperPLC.DB0011:0076.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCNumberOfLayersMax,[DiloCrosslapperPLC.DB0011:0078.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCLayerOverlapMin,[DiloCrosslapperPLC.DB0011:0084.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
